epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3928,1.9848,3.15531,2.02261,0.50698,0.25439,0.19929,0.06582,2.38286,2.85934,2.48853,0.000414352,0.000414352,0.000414352
2,123.974,2.06314,2.66552,2.09173,0.14619,0.30705,0.12063,0.03987,2.43635,3.14512,2.57719,0.000807513,0.000807513,0.000807513
3,182.83,2.08237,2.69929,2.15263,0.40977,0.175,0.12618,0.0407,2.48662,3.45411,2.64699,0.0011771,0.0011771,0.0011771
4,249.645,2.13595,2.82982,2.17379,0.21161,0.37232,0.20715,0.07513,2.29398,3.07629,2.40941,0.00114393,0.00114393,0.00114393
5,307.799,2.00977,2.60118,2.08391,0.34021,0.3282,0.26521,0.09923,2.25236,2.62613,2.32541,0.00110857,0.00110857,0.00110857
6,366.289,1.96545,2.5277,2.06278,0.27552,0.33963,0.2965,0.11758,2.13967,2.54488,2.26303,0.00107321,0.00107321,0.00107321
7,424.482,1.95969,2.46733,2.02936,0.62261,0.30043,0.33733,0.14557,2.20818,2.58884,2.32838,0.00103786,0.00103786,0.00103786
8,482.271,1.9206,2.41437,1.96169,0.45576,0.42578,0.40942,0.17268,2.07315,2.57601,2.19746,0.0010025,0.0010025,0.0010025
9,539.969,1.86051,2.27798,1.96139,0.47579,0.47285,0.47689,0.20067,2.04765,2.28566,2.16318,0.000967143,0.000967143,0.000967143
10,597.743,1.84062,2.23625,1.92451,0.60031,0.50333,0.49754,0.21286,2.00163,2.04414,2.10913,0.000931786,0.000931786,0.000931786
11,655.514,1.83272,2.14861,1.93178,0.5444,0.54124,0.48701,0.21269,1.96699,2.04146,2.12095,0.000896429,0.000896429,0.000896429
12,713.251,1.77391,2.0708,1.87274,0.57756,0.51805,0.52285,0.23968,1.97035,1.96018,2.07445,0.000861071,0.000861071,0.000861071
13,771.045,1.79477,2.10602,1.88993,0.58845,0.50739,0.54648,0.24606,1.92467,1.93173,2.04595,0.000825714,0.000825714,0.000825714
14,828.565,1.77108,2.03131,1.86999,0.50071,0.53236,0.54763,0.22552,2.01313,1.97173,2.05492,0.000790357,0.000790357,0.000790357
15,885.943,1.73131,1.91954,1.83387,0.62606,0.54864,0.57742,0.2733,1.8896,1.83616,2.04097,0.000755,0.000755,0.000755
16,943.558,1.701,1.91042,1.81542,0.69146,0.51748,0.58939,0.26505,1.89755,1.86162,2.03698,0.000719643,0.000719643,0.000719643
17,1001,1.64592,1.86197,1.78266,0.69885,0.59649,0.62989,0.28794,1.89606,1.72602,1.9963,0.000684286,0.000684286,0.000684286
18,1058.25,1.6413,1.8139,1.75896,0.59622,0.59812,0.60424,0.28294,1.89217,1.76137,1.97002,0.000648929,0.000648929,0.000648929
19,1116.24,1.60129,1.77802,1.73353,0.65593,0.57366,0.61744,0.28553,1.9072,1.73102,1.99118,0.000613571,0.000613571,0.000613571
20,1173.98,1.58822,1.75992,1.73255,0.66394,0.60921,0.65692,0.29142,1.89286,1.6806,1.99609,0.000578214,0.000578214,0.000578214
21,1231.74,1.60103,1.70072,1.70409,0.74819,0.57212,0.64094,0.3026,1.89447,1.65801,2.00302,0.000542857,0.000542857,0.000542857
22,1289.39,1.54178,1.61227,1.67524,0.65232,0.61191,0.63612,0.29176,1.88823,1.60893,1.96177,0.0005075,0.0005075,0.0005075
23,1347,1.54467,1.59905,1.6723,0.75501,0.56804,0.64591,0.31666,1.87587,1.60092,1.97474,0.000472143,0.000472143,0.000472143
24,1404.51,1.54074,1.58497,1.6727,0.74099,0.61612,0.67967,0.3189,1.86346,1.60311,1.97052,0.000436786,0.000436786,0.000436786
25,1462.14,1.49123,1.51572,1.62994,0.72518,0.64569,0.6846,0.33103,1.82393,1.53897,1.93494,0.000401429,0.000401429,0.000401429
26,1566.93,1.52394,1.37781,1.7128,0.73909,0.63153,0.67318,0.32574,1.84541,1.54163,1.94367,0.000366071,0.000366071,0.000366071
27,1624.58,1.50326,1.26761,1.6849,0.73934,0.6673,0.71252,0.35023,1.79924,1.48335,1.89127,0.000330714,0.000330714,0.000330714
28,1682.27,1.49147,1.22374,1.66479,0.72582,0.66346,0.69249,0.34471,1.80188,1.47806,1.89458,0.000295357,0.000295357,0.000295357
29,1739.95,1.43494,1.17206,1.61938,0.75104,0.6521,0.70073,0.34932,1.78446,1.44114,1.87046,0.00026,0.00026,0.00026
30,1797.71,1.39712,1.13485,1.61441,0.73119,0.67646,0.71711,0.36355,1.79097,1.41424,1.88166,0.000224643,0.000224643,0.000224643
31,1855.37,1.38723,1.10255,1.60305,0.77101,0.68524,0.73572,0.36325,1.82197,1.41117,1.91825,0.000189286,0.000189286,0.000189286
32,1912.76,1.36702,1.03437,1.55946,0.80914,0.64467,0.72996,0.36056,1.80535,1.38661,1.8949,0.000153929,0.000153929,0.000153929
33,1970.22,1.33218,1.018,1.54797,0.78057,0.69002,0.73474,0.36118,1.80024,1.36167,1.8913,0.000118571,0.000118571,0.000118571
34,2027.67,1.30731,0.9752,1.53244,0.79967,0.67806,0.73962,0.36461,1.79456,1.36972,1.8843,8.32143e-05,8.32143e-05,8.32143e-05
35,2085.25,1.26848,0.93331,1.49725,0.81553,0.67473,0.75163,0.37011,1.78126,1.37659,1.87694,4.78571e-05,4.78571e-05,4.78571e-05
